N,occurrence_id,classification,type_of_occurrence,localization,fu,country,aerodrome,occurrence_day,time,under_investigation,investigating_command,investigation_status,report_number,published_report,publication_day,recommendation_amount,aircrafts_involved,takeoff,extraction_day
1547,31868,ACCIDENT,LOSS OF CONTROL IN THE AIR,IPEUNA,SP,BRAZIL,SDED,26/01/2008,12:00:00,YES,SERIPA-4,FINISHED,-,1.0,29/08/2012,4,1,-,30/07/2016
1548,52972,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,TAPES,RS,BRAZIL,SSAU,07/02/2015,11:00:00,YES,SERIPA-5,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1549,46173,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,IPIGUA,SP,BRAZIL,****,26/07/2012,16:30:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1550,45928,ACCIDENT,FIRE ON THE GROUND,DELTA,MG,BRAZIL,****,27/05/2012,14:00:00,YES,SERIPA-3,FINISHED,-,-,-,0,1,-,30/07/2016
1551,45285,ACCIDENT,LOSS OF CONTROL ON THE GROUND,TRES RANCHOS,GO,BRAZIL,****,30/11/2011,13:55:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1552,29218,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,IPUA,SP,BRAZIL,****,11/04/2007,12:30:00,YES,SERIPA-4,FINISHED,-,1.0,05/05/2010,1,1,-,30/07/2016
1553,53625,ACCIDENT,TERRAIN COLLISION,TRINDADE,GO,BRAZIL,****,06/12/2015,14:00:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1554,36917,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,TRINDADE,GO,BRAZIL,****,12/04/2009,15:00:00,YES,SERIPA-6,FINISHED,-,1.0,16/10/2009,7,1,-,30/07/2016
1555,50807,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,TRINDADE,GO,BRAZIL,****,15/02/2014,11:30:00,YES,SERIPA-6,FINISHED,-,1.0,30/04/2015,0,1,-,30/07/2016
1556,46586,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,URUACU,GO,BRAZIL,****,16/11/2012,11:50:00,YES,SERIPA-6,FINISHED,-,-,-,0,1,-,30/07/2016
1557,43171,SERIOUS INCIDENT,AIR TRAFFIC,DIAMANTINA,MG,BRAZIL,****,12/09/2010,18:30:00,YES,SERIPA-3,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1558,60632,SERIOUS INCIDENT,METEOROLOGICAL PHENOMENOM IN THE AIR,ITABERA,SP,BRAZIL,****,24/12/2015,13:20:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1559,51596,ACCIDENT,FUEL STARVATION,ITAI,SP,BRAZIL,****,30/06/2014,21:00:00,YES,SERIPA-4,FINISHED,-,1.0,15/05/2015,0,1,-,30/07/2016
1560,38643,ACCIDENT,LOSS OF CONTROL ON THE GROUND,MORTUGABA,BA,BRAZIL,****,24/09/2009,15:30:00,YES,SERIPA-2,FINISHED,-,1.0,22/03/2012,4,1,-,30/07/2016
1561,41482,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,TRES FORQUILHAS,RS,BRAZIL,****,03/06/2010,16:15:00,UNKNOWN,SERIPA-5,-,-,-,-,0,1,-,30/07/2016
1562,50314,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,MUCUGE,BA,BRAZIL,****,22/10/2013,20:06:00,YES,SERIPA-2,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1563,42758,ACCIDENT,LOSS OF CONTROL IN THE AIR,ITANHAEM,SP,BRAZIL,****,10/09/2010,14:00:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1564,51443,SERIOUS INCIDENT,SLOW LANDING,ITANHAEM,SP,BRAZIL,SDIM,01/05/2014,14:42:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,1.0,30/07/2016
1565,45751,ACCIDENT,LOSS OF CONTROL ON THE GROUND,ITANHAEM,SP,BRAZIL,****,14/04/2012,15:30:00,YES,SERIPA-4,FINISHED,-,1.0,16/07/2013,2,1,1.0,30/07/2016
1566,51420,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ITANHAEM,SP,BRAZIL,****,30/01/2014,20:40:00,UNKNOWN,SERIPA-4,-,-,-,-,0,1,-,30/07/2016
1567,47992,ACCIDENT,HARD LANDING,ITANHAEM,SP,BRAZIL,SDIM,03/05/2013,13:20:00,YES,SERIPA-4,FINISHED,-,1.0,16/07/2013,1,1,-,30/07/2016
1568,49115,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,VILA PROPICIO,GO,BRAZIL,****,21/02/2013,10:30:00,YES,SERIPA-6,FINISHED,-,1.0,06/06/2015,0,1,-,30/07/2016
1569,53418,ACCIDENT,UNKNOWN,DIVINOPOLIS,MG,BRAZIL,SNDV,11/07/2015,16:14:00,UNKNOWN,SERIPA-3,-,-,-,-,0,1,-,30/07/2016
1570,43095,ACCIDENT,SYSTEM / COMPONENT FAILURE,DIVINOPOLIS,MG,BRAZIL,****,16/10/2010,12:00:00,UNKNOWN,SERIPA-3,-,-,-,-,0,1,-,30/07/2016
1571,43446,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,URUGUAIANA,RS,BRAZIL,****,14/11/2010,11:30:00,YES,SERIPA-5,FINISHED,-,1.0,29/08/2011,2,1,-,30/07/2016
1572,34841,ACCIDENT,TERRAIN COLLISION,URUGUAIANA,RS,BRAZIL,****,30/10/2008,18:50:00,YES,SERIPA-5,FINISHED,-,1.0,03/07/2012,2,1,-,30/07/2016
1573,34840,ACCIDENT,TERRAIN COLLISION,URUGUAIANA,RS,BRAZIL,****,20/10/2008,12:30:00,YES,SERIPA-5,FINISHED,-,1.0,03/07/2012,1,1,-,30/07/2016
1574,39015,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,URUGUAIANA,RS,BRAZIL,SJDU,19/11/2009,20:18:00,YES,SERIPA-5,FINISHED,-,1.0,04/11/2011,7,1,-,30/07/2016
1575,46751,ACCIDENT,ANOTHER TYPES,URUGUAIANA,RS,BRAZIL,SJDU,13/12/2012,22:00:00,YES,SERIPA-5,FINISHED,-,1.0,23/06/2016,2,1,-,30/07/2016
1576,50131,ACCIDENT,LOSS OF CONTROL ON THE GROUND,URUGUAIANA,RS,BRAZIL,****,08/11/2013,21:10:00,YES,SERIPA-5,FINISHED,-,1.0,28/04/2014,0,1,-,30/07/2016
1577,35275,ACCIDENT,FUEL STARVATION,URUGUAIANA,RS,BRAZIL,****,15/12/2008,12:35:00,YES,SERIPA-5,FINISHED,-,1.0,22/02/2012,1,1,-,30/07/2016
1578,50354,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,ITAPEVA,SP,BRAZIL,SDYW,10/12/2013,20:00:00,UNKNOWN,SERIPA-4,-,-,-,-,0,1,-,30/07/2016
1579,28016,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,VACARIA,RS,BRAZIL,****,08/11/2006,16:30:00,YES,SERIPA-5,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1580,53117,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ITAPIRA,SP,BRAZIL,****,21/02/2015,11:40:00,YES,SERIPA-4,FINISHED,-,1.0,03/06/2016,1,1,-,30/07/2016
1581,43989,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,SABAUDIA,PR,BRAZIL,****,25/02/2011,18:00:00,YES,SERIPA-5,FINISHED,-,1.0,20/09/2012,6,1,-,30/07/2016
1582,40839,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ITAPOLIS,SP,BRAZIL,****,10/05/2010,20:30:00,YES,SERIPA-4,FINISHED,-,-,-,0,1,-,30/07/2016
1583,44377,ACCIDENT,LOSS OF CONTROL ON THE GROUND,ITAPOLIS,SP,BRAZIL,SDIO,09/04/2011,14:50:00,YES,SERIPA-4,FINISHED,-,1.0,29/08/2012,11,1,0.0,30/07/2016
1584,53436,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,ITAPOLIS,SP,BRAZIL,SDIO,17/08/2015,12:45:00,YES,SERIPA-4,FINISHED,-,1.0,23/06/2016,0,1,-,30/07/2016
1585,46753,ACCIDENT,FUEL STARVATION,ITAPOLIS,SP,BRAZIL,****,20/12/2012,13:30:00,YES,SERIPA-4,FINISHED,-,1.0,23/06/2016,2,1,-,30/07/2016
1586,60625,ACCIDENT,LOSS OF CONTROL ON THE GROUND,ITAPOLIS,SP,BRAZIL,SDIO,17/12/2015,21:30:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,1.0,30/07/2016
1587,46279,SERIOUS INCIDENT,ABOUT LANDING GEAR,ITAPOLIS,SP,BRAZIL,SDIO,15/08/2012,20:40:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1588,29555,ACCIDENT,LOSS OF CONTROL IN THE AIR,ITAPOLIS,SP,BRAZIL,SDIO,15/06/2007,16:30:00,YES,SERIPA-4,FINISHED,-,1.0,30/12/2008,9,1,-,30/07/2016
1589,45865,SERIOUS INCIDENT,LOSS OF COMPONENT DURING THE FLIGHT,ITAPOLIS,SP,BRAZIL,****,18/05/2012,19:45:00,YES,CENIPA,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1590,52341,ACCIDENT,UNKNOWN,VERANOPOLIS,RS,BRAZIL,****,21/09/2014,19:30:00,UNKNOWN,SERIPA-5,-,-,-,-,0,1,-,30/07/2016
1591,42718,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,VERANOPOLIS,RS,BRAZIL,SSVN,08/09/2010,19:10:00,YES,SERIPA-5,FINISHED,-,1.0,21/07/2011,2,1,1.0,30/07/2016
1592,46861,ACCIDENT,LOSS OF CONTROL ON THE GROUND,VIAMAO,RS,BRAZIL,****,02/01/2013,16:45:00,YES,SERIPA-5,FINISHED,-,1.0,08/07/2013,0,1,-,30/07/2016
1593,45333,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,VIAMAO,RS,BRAZIL,****,06/01/2012,13:00:00,YES,SERIPA-5,FINISHED,-,1.0,27/11/2013,0,1,-,30/07/2016
1594,45332,ACCIDENT,LOSS OF CONTROL ON THE GROUND,VIAMAO,RS,BRAZIL,****,09/01/2012,13:30:00,YES,SERIPA-5,FINISHED,-,1.0,27/11/2013,0,1,-,30/07/2016
1595,46258,ACCIDENT,FLIGHT COMMANDS,ITAQUAQUECETUBA,SP,BRAZIL,****,19/08/2012,18:05:00,YES,SERIPA-4,FINISHED,-,1.0,06/03/2015,0,1,-,30/07/2016
1596,53427,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ITARIRI,SP,BRAZIL,****,13/08/2015,12:50:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1597,53197,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ITATIBA,SP,BRAZIL,****,05/04/2015,11:50:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1598,45750,ACCIDENT,LOSS OF CONTROL IN THE AIR,ITIRAPINA,SP,BRAZIL,****,13/04/2012,15:45:00,UNKNOWN,SERIPA-4,-,-,-,-,0,1,-,30/07/2016
1599,43909,ACCIDENT,LOSS OF CONTROL IN THE AIR,ITIRAPINA,SP,BRAZIL,SDJA,29/01/2011,11:45:00,YES,SERIPA-4,FINISHED,-,1.0,15/08/2014,0,1,-,30/07/2016
1600,53437,ACCIDENT,FUEL STARVATION,SANTA ISABEL DO IVAI,PR,BRAZIL,****,21/11/2014,09:30:00,YES,SERIPA-5,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1601,44700,ACCIDENT,LOW ALTITUDE MANEUVERS,ITOBI,SP,BRAZIL,****,01/07/2011,19:30:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1602,45050,ACCIDENT,LOSS OF CONTROL IN THE AIR,ITOBI,SP,BRAZIL,****,09/09/2011,10:00:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1603,45829,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,SANTA MARIANA,PR,BRAZIL,****,10/05/2012,12:00:00,YES,SERIPA-5,FINISHED,-,1.0,10/10/2014,0,1,-,30/07/2016
1604,52987,ACCIDENT,LOSS OF CONTROL IN THE AIR,ITU,SP,BRAZIL,****,24/01/2015,14:00:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1605,45651,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ITU,SP,BRAZIL,****,24/03/2012,20:45:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1606,52980,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,SANTA MONICA,PR,BRAZIL,****,10/01/2015,22:00:00,YES,SERIPA-5,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1607,51755,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,SANTA MONICA,PR,BRAZIL,****,12/07/2014,13:30:00,YES,SERIPA-5,FINISHED,-,1.0,24/04/2015,0,1,-,30/07/2016
1608,34936,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ITUPEVA,SP,BRAZIL,****,05/01/2009,17:00:00,YES,SERIPA-4,FINISHED,-,1.0,20/09/2012,7,1,-,30/07/2016
1609,48429,ACCIDENT,LANDING WITHOUT LANDING GEAR,SANTA TEREZINHA DE ITAIPU,PR,BRAZIL,****,22/05/2013,19:30:00,YES,SERIPA-5,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1610,46093,ACCIDENT,FUEL STARVATION,ESPINOSA,MG,BRAZIL,****,06/07/2012,13:40:00,YES,SERIPA-3,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1611,46512,ACCIDENT,FUEL STARVATION,JABOTICABAL,SP,BRAZIL,****,25/10/2012,15:00:00,YES,SERIPA-4,FINISHED,-,-,-,0,1,-,30/07/2016
1612,52971,ACCIDENT,LOSS OF CONTROL ON THE GROUND,JABOTICABAL,SP,BRAZIL,SDJC,24/01/2015,20:00:00,UNKNOWN,SERIPA-4,-,-,-,-,0,1,-,30/07/2016
1613,37235,ACCIDENT,LOSS OF CONTROL IN THE AIR,JACAREI,SP,BRAZIL,****,30/04/2009,19:40:00,YES,SERIPA-4,FINISHED,-,1.0,17/03/2014,2,1,-,30/07/2016
1614,33435,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,JACUPIRANGA,SP,BRAZIL,****,10/04/2007,12:00:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1615,34915,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,JAGUARIUNA,SP,BRAZIL,****,04/02/2009,10:40:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1616,49479,ACCIDENT,LOSS OF CONTROL ON THE GROUND,JALES,SP,BRAZIL,SDJL,08/08/2013,20:45:00,UNKNOWN,SERIPA-4,-,-,-,-,0,1,-,30/07/2016
1617,53629,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,JALES,SP,BRAZIL,SDJL,08/12/2015,10:20:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1618,44612,ACCIDENT,LOW ALTITUDE MANEUVERS,SAO JOAO DO CAIUA,PR,BRAZIL,****,03/05/2011,13:30:00,YES,SERIPA-5,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1619,52340,ACCIDENT,LOSS OF CONTROL IN THE AIR,FAMA,MG,BRAZIL,****,20/09/2014,15:00:00,YES,SERIPA-3,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1620,50333,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,JARINU,SP,BRAZIL,****,11/11/2013,12:10:00,YES,SERIPA-4,FINISHED,-,1.0,18/03/2016,1,1,-,30/07/2016
1621,46630,ACCIDENT,LOSS OF CONTROL ON THE GROUND,JAU,SP,BRAZIL,SDMV,01/12/2012,20:30:00,YES,SERIPA-4,FINISHED,-,1.0,20/03/2015,0,1,-,30/07/2016
1622,31595,ACCIDENT,LOSS OF CONTROL IN THE AIR,PORTO SEGURO,BA,BRAZIL,SNTZ,08/01/2008,13:45:00,YES,SERIPA-2,FINISHED,-,1.0,03/07/2012,4,1,-,30/07/2016
1623,44660,ACCIDENT,TERRAIN COLLISION,PORTO SEGURO,BA,BRAZIL,****,17/06/2011,21:49:00,YES,SERIPA-2,FINISHED,-,1.0,07/08/2012,9,1,-,30/07/2016
1624,52552,SERIOUS INCIDENT,LEAVING THE TRACK,PORTO SEGURO,BA,BRAZIL,SBPS,22/09/2014,16:19:00,YES,CENIPA,IN PROGRESS,-,-,-,0,1,1.0,30/07/2016
1625,37577,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,PORTO SEGURO,BA,BRAZIL,****,22/05/2009,23:53:00,YES,SERIPA-2,FINISHED,-,1.0,06/04/2010,18,1,-,30/07/2016
1626,48662,SERIOUS INCIDENT,ABOUT LANDING GEAR,PORTO SEGURO,BA,BRAZIL,SBPS,23/05/2013,19:10:00,YES,SERIPA-2,FINISHED,-,1.0,16/09/2013,1,1,-,30/07/2016
1627,46261,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,PORTO SEGURO,BA,BRAZIL,SBPS,08/08/2012,18:50:00,YES,SERIPA-2,FINISHED,-,1.0,09/06/2014,1,1,-,30/07/2016
1628,43390,ACCIDENT,FUEL STARVATION,PRADO,BA,BRAZIL,****,23/10/2010,16:10:00,YES,SERIPA-2,FINISHED,-,1.0,01/08/2011,2,1,-,30/07/2016
1629,33480,ACCIDENT,LOSS OF CONTROL IN THE AIR,SAO JOSE DOS PINHAIS,PR,BRAZIL,****,25/02/2007,20:00:00,YES,SERIPA-5,FINISHED,-,1.0,30/01/2008,1,1,-,30/07/2016
1630,30316,ACCIDENT,LOSS OF CONTROL IN THE AIR,SAO JOSE DOS PINHAIS,PR,BRAZIL,****,22/08/2007,03:35:00,YES,SERIPA-5,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1631,47698,SERIOUS INCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,SAO JOSE DOS PINHAIS,PR,BRAZIL,SBCT,16/04/2013,02:45:00,YES,SERIPA-5,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1632,50513,SERIOUS INCIDENT,ABOUT LANDING GEAR,SAO JOSE DOS PINHAIS,PR,BRAZIL,SBCT,03/12/2013,14:10:00,YES,SERIPA-5,FINISHED,-,1.0,16/06/2014,0,1,-,30/07/2016
1633,44888,SERIOUS INCIDENT,SYSTEM / COMPONENT FAILURE,SAO JOSE DOS PINHAIS,PR,BRAZIL,SBCT,15/07/2011,17:00:00,YES,CENIPA,FINISHED,-,1.0,03/06/2016,11,1,-,30/07/2016
1634,53105,SERIOUS INCIDENT,METEOROLOGICAL PHENOMENOM IN THE AIR,SAO MIGUEL DO IGUACU,PR,BRAZIL,****,03/02/2015,20:00:00,UNKNOWN,SERIPA-5,-,-,-,-,0,1,-,30/07/2016
1635,46845,ACCIDENT,UNKNOWN,FELIXLÂNDIA,MG,BRAZIL,****,08/12/2012,19:56:00,UNKNOWN,SERIPA-3,-,-,-,-,0,1,-,30/07/2016
1636,51418,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,JOSE BONIFACIO,SP,BRAZIL,****,21/01/2014,14:30:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1637,28815,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,FERROS,MG,BRAZIL,****,07/04/2007,12:30:00,YES,SERIPA-3,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1638,29735,ACCIDENT,COLLISION AGAINST BIRD,JUNDIAI,SP,BRAZIL,****,01/07/2007,03:00:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1639,53574,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,JUNDIAI,SP,BRAZIL,****,27/11/2015,12:40:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1640,51536,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,JUNDIAI,SP,BRAZIL,SBJD,06/06/2014,16:38:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,1.0,30/07/2016
1641,38055,ACCIDENT,HARD LANDING,JUNDIAI,SP,BRAZIL,****,07/07/2009,15:40:00,YES,SERIPA-4,FINISHED,-,1.0,29/08/2011,5,1,-,30/07/2016
1642,46188,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,JUNDIAI,SP,BRAZIL,SBJD,29/07/2012,14:46:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1643,46306,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,JUNDIAI,SP,BRAZIL,SBJD,09/09/2012,12:00:00,YES,SERIPA-4,FINISHED,-,1.0,08/01/2014,0,1,-,30/07/2016
1644,49478,ACCIDENT,METEOROLOGICAL PHENOMENOM ON THE GROUND,JUNDIAI,SP,BRAZIL,SBJD,17/08/2013,12:15:00,UNKNOWN,SERIPA-4,-,-,-,-,0,1,-,30/07/2016
1645,46181,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,JUNDIAI,SP,BRAZIL,SBJD,23/07/2012,18:55:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1646,47697,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,JUNDIAI,SP,BRAZIL,SBJD,21/04/2013,14:55:00,YES,SERIPA-4,FINISHED,-,1.0,28/04/2014,0,1,-,30/07/2016
1647,43814,ACCIDENT,FUEL STARVATION,JUNDIAI,SP,BRAZIL,****,04/02/2011,20:30:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1648,45524,ACCIDENT,LOSS OF CONTROL ON THE GROUND,JUNDIAI,SP,BRAZIL,SBJD,07/02/2012,16:10:00,YES,SERIPA-4,FINISHED,-,1.0,14/10/2014,0,1,1.0,30/07/2016
1649,31857,ACCIDENT,INVOLUNTARY ENGINE CUT OFF,JUNDIAI,SP,BRAZIL,****,04/01/2008,14:50:00,YES,SERIPA-4,FINISHED,-,1.0,29/08/2011,2,1,-,30/07/2016
1650,53434,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,JUNDIAI,SP,BRAZIL,SBJD,11/08/2015,12:20:00,YES,SERIPA-4,FINISHED,-,1.0,23/06/2016,0,1,1.0,30/07/2016
1651,38815,ACCIDENT,LOSS OF CONTROL ON THE GROUND,JUNDIAI,SP,BRAZIL,****,20/12/2009,21:10:00,YES,SERIPA-4,FINISHED,-,1.0,22/08/2014,0,1,1.0,30/07/2016
1652,45757,ACCIDENT,LOSS OF CONTROL IN THE AIR,JUNDIAI,SP,BRAZIL,SBJD,20/04/2012,20:20:00,YES,SERIPA-4,FINISHED,-,1.0,15/08/2014,2,1,-,30/07/2016
1653,50753,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,JUNDIAI,SP,BRAZIL,SBJD,16/03/2014,16:30:00,UNKNOWN,SERIPA-4,-,-,-,-,0,1,-,30/07/2016
1654,34339,ACCIDENT,LOSS OF CONTROL ON THE GROUND,JUNDIAI,SP,BRAZIL,****,25/10/2008,19:40:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1655,41155,ACCIDENT,LOSS OF CONTROL ON THE GROUND,JUNDIAI,SP,BRAZIL,SBJD,20/05/2010,19:35:00,YES,SERIPA-4,FINISHED,-,1.0,03/07/2012,5,1,-,30/07/2016
1656,49233,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,JUNDIAI,SP,BRAZIL,SBJD,03/08/2013,15:24:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1657,41829,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,JUNDIAI,SP,BRAZIL,SBJD,29/06/2010,19:20:00,YES,SERIPA-4,FINISHED,-,1.0,21/07/2015,2,1,1.0,30/07/2016
1658,46434,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,JUQUIA,SP,BRAZIL,****,03/10/2012,11:00:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1659,45292,SERIOUS INCIDENT,ABOUT LANDING GEAR,FORMIGA,MG,BRAZIL,****,26/12/2011,21:30:00,YES,SERIPA-3,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1660,38875,ACCIDENT,LOSS OF CONTROL ON THE GROUND,FORMIGA,MG,BRAZIL,****,20/12/2009,17:00:00,YES,SERIPA-3,FINISHED,-,1.0,15/07/2015,1,1,1.0,30/07/2016
1661,47133,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,RIACHAO DAS NEVES,BA,BRAZIL,SDDQ,06/03/2013,13:50:00,YES,SERIPA-2,FINISHED,-,1.0,16/04/2014,0,1,-,30/07/2016
1662,53166,SERIOUS INCIDENT,ANOTHER TYPES,RIACHAO DAS NEVES,BA,BRAZIL,****,24/03/2015,14:45:00,YES,SERIPA-2,FINISHED,-,1.0,19/10/2015,0,1,-,30/07/2016
1663,53477,ACCIDENT,UNKNOWN,LAVINIA,SP,BRAZIL,****,04/09/2015,05:00:00,YES,SERIPA-4,FINISHED,-,1.0,15/02/2016,0,1,1.0,30/07/2016
1664,53341,ACCIDENT,LOSS OF CONTROL IN THE AIR,SIQUEIRA CAMPOS,PR,BRAZIL,-,17/06/2015,21:00:00,UNKNOWN,SERIPA-5,-,-,-,-,0,1,-,30/07/2016
1665,49614,ACCIDENT,ABOUT LANDING GEAR,LEME,SP,BRAZIL,SDLL,05/09/2013,14:40:00,UNKNOWN,SERIPA-4,-,-,-,-,0,1,-,30/07/2016
1666,53566,ACCIDENT,LANDING ON UNPREDICTABLE PLACE,LENCOIS PAULISTA,SP,BRAZIL,****,09/11/2015,19:30:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1667,38379,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,LENCOIS PAULISTA,SP,BRAZIL,****,08/08/2009,17:15:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,1.0,30/07/2016
1668,45821,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,LENCOIS PAULISTA,SP,BRAZIL,****,01/05/2012,17:15:00,YES,SERIPA-4,FINISHED,-,1.0,30/12/2013,2,1,-,30/07/2016
1669,53111,ACCIDENT,LOSS OF CONTROL IN THE AIR,TAPIRA,PR,BRAZIL,****,05/02/2015,10:40:00,YES,SERIPA-5,FINISHED,-,1.0,16/11/2015,1,1,-,30/07/2016
1670,37815,ACCIDENT,ANOTHER TYPES,LIMEIRA,SP,BRAZIL,****,06/06/2009,17:00:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1671,38426,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,LIMEIRA,SP,BRAZIL,****,30/08/2009,18:10:00,YES,SERIPA-4,FINISHED,-,1.0,23/09/2011,2,1,-,30/07/2016
